Consensus Address,Operator Address,Stake Size
cosmosvalcons1acpxknv87l29uhppefe6rxx285cc3zuyhupu6a,cosmosvaloper1r50v53ua3mgfczlgf6jclycx2edcsaaftfjzs6,10004
cosmosvalcons1qqqqrezrl53hujmpdch6d805ac75n220ku09rl,cosmosvaloper1rcp29q3hpd246n6qak7jluqep4v006cdsc2kkl,281810293214
cosmosvalcons1aq0hzzv9mejakjrx38c67s9gekpjymdkssvdk9,cosmosvaloper1r6cwek6596vqzky4fezhy29qcdlv06d2laa2pk,8399567
cosmosvalcons13h3hfdz0hv24fts20tny278mvg2pxsl8f38l5r,cosmosvaloper1rmtq3p4pvsxfk0vr3agslkwf6pt5u2a3dgq9ga,1000000
cosmosvalcons1tn8at2pzkrhy6u5dfq9vns3v8dz4apvyku4x0k,cosmosvaloper1rl23sesp9qc7j9cmntl75v3uu4zetjxnuqskea,12625206
cosmosvalcons1683pm2963unfcg6cryv0d7ztjyh9qc44pt6w84,cosmosvaloper1yyhjumfj2lvsgzwhvk6fcezgwu6q70d0j59hlf,21317709
cosmosvalcons14ezk4pd9cm2xlg6sc0kzmjcq6esnt83q8k8rp6,cosmosvaloper1yfnaup5wa3vdzx3wx9auhvzl85saqj37tqxqnu,179632492571
cosmosvalcons1rxmc3l8jzvqz5q3tll5crev2azncq8egfntczu,cosmosvaloper1yvwqd5rdtuaw25mcqhz794dvgq9k9yeh8mjcdh,6
cosmosvalcons17m7kxedvc5uzk6kk2ekd99ceqjm47l3y355lug,cosmosvaloper1yw5s259jkcg0jzmh7sce29uk0lqqw2ump7578p,834311991430
cosmosvalcons1ejrl266cvgvprc4453ln33skdc54ecmwjdyr4d,cosmosvaloper1y0us8xvsvfvqkk9c6nt5cfyu5au5tww2ztve7q,2901207592693
cosmosvalcons1hc7gfnnedgqfxdpeu0fjzl2f6e7w7ea0vjxyzm,cosmosvaloper1y3aaqvxn6hyqh05ektsy0zrymvne3qcq6mffu0,9455468
cosmosvalcons18dyu497yj6grx936sus49pcy38k7huyq3cflu7,cosmosvaloper1yh089p0cre4nhpdqw35uzde5amg3qzexkeggdn,870177747616
cosmosvalcons1lntpwz5l3lc8gqzy8anvp8alxlkprdawv9dlhv,cosmosvaloper1yat0v9mqt88m2x3uew0zrpzn7tjzas6eplz6s2,1006080122
cosmosvalcons1xde5ku0a70qnen8s3fctnypg4gj206p8um2u7s,cosmosvaloper19qv67gvevp4xw64kmhd6ff6ta2l2ywgfm74xtz,116954077505
cosmosvalcons16w7zdvdfmmyd26c28w8v6gc3pmzv63d823y70l,cosmosvaloper19rmlxkqjt950fxl849l49x0me56u9tkd5n5j62,115178514
cosmosvalcons13c8wx7mmrgpcm529uv83a7ta7dseaapfj2eket,cosmosvaloper19yy989ka5usws6gsd8vl94y7l6ssgdwsrnscjc,1247698216788
cosmosvalcons1nc2r2t949y7xqu7kz2q2r9cgt3n53kh6aluuac,cosmosvaloper1998928nfs697ep5d825y5jah0nq9zrtd00yyj7,201419478
cosmosvalcons1g63l3wpe8w4p20zqu4ezat5zagx53vedf849wa,cosmosvaloper199mlc7fr6ll5t54w7tts7f4s0cvnqgc59nmuxf,918138575239
cosmosvalcons1hnmyrqn0kyw3r56u0x5d6a8rq3cpww4cws7jzm,cosmosvaloper19ggkjc5slg5gphf92yrvusr3jc702h4tfz6nvn,60102
cosmosvalcons1txkxwgrg77h8tmv02vq0cvnpey4epxs2qq3s3d,cosmosvaloper19f0w9svr905fhefusyx4z8sf83j6et0g9l5yhl,1375334383087
cosmosvalcons1v3dkh99aq5jqg3avzxml72psmw7ylqmgxx70tf,cosmosvaloper19tfkpy26wpdanzjqwag8yyxsygsxgwzsqxmnuw,999910
cosmosvalcons1yaz7eg96e78hkxlck76rgc5mfuvv0wjz3spkuv,cosmosvaloper19v9ej55ataqrfl39v83pf4e0dm69u89rngf928,475008
cosmosvalcons1s23urazh09t3lfevm6ger7avhne4zwd3u06eqm,cosmosvaloper193qmr3zvz0s6g4ngez5euja7ynwrwx8amer9qt,1
cosmosvalcons1k4p60h6g0q9wlm6e8gqre5rqkkfufe44q2mfsa,cosmosvaloper19j2hd230c3hw6ds843yu8akc0xgvdvyuz9v02v,172013465061
cosmosvalcons1fyr09ffnfkgx5nrrl85av9f8486e8380f3mvng,cosmosvaloper19kwwdw0j64xhrmgkz49l0lmu5uyujjayxakwsn,302880212
cosmosvalcons1lrjsx2uc6hfjgshrykmfwz6rfa6juyf7gszn2c,cosmosvaloper19ecn7ljwp6el2pc5lldyauwv05ufwut9mm38r5,477301030355
cosmosvalcons16t2937fqnm9ceg42k8veupnprwqj4puhwm6yyv,cosmosvaloper196ax4vc0lwpxndu9dyhvca7jhxp70rmcvrj90c,10450989163651
cosmosvalcons1dre8q72eph9vcwkpcjyj5xsq3u6g7kt0q0pn3n,cosmosvaloper19lss6zgdh5vvcpjhfftdghrpsw7a4434elpwpu,3315094898
cosmosvalcons1rt4g447zhv6jcqwdl447y88guwm0eevnrelgzc,cosmosvaloper1xqz9pemz5e5zycaa89kys5aw6m8rhgsvw4328e,185411971765
cosmosvalcons16tnak7apushwznnd3wtku8gm0rt3xytz6ut006,cosmosvaloper1xqtqptyvjksqx8pvvm6r0uamuddxvrkh4ge2gf,1964501
cosmosvalcons1yjf46k064988jdjje068zmrqg8xh4fqqe2wwnl,cosmosvaloper1xym2qygmr9vanpa0m7ndk3n0qxgey3ffzcyd5c,199715835322
cosmosvalcons18z5h84jguzthd2u6kzqmswc9vfcag75dv9hzt6,cosmosvaloper1xxjvzwjpsf6ktuffkcpx29ut9qfrn0my8xdtqd,560
cosmosvalcons18xt8rsh7fvn3fmrwsl2wu32w790n8232mlz4p6,cosmosvaloper1x8rr4hcf54nz6hfckyy2n05sxss54h8wz9puzg,2074921323
cosmosvalcons1aqq8grrgeqdnqdzu8t3t5cu054hlvlh062nhqx,cosmosvaloper1x88j7vp2xnw3zec8ur3g4waxycyz7m0mahdv3p,342186800087
cosmosvalcons1ld8myknpkjf6t0uw8n2tt684kszd4r3rwy98d2,cosmosvaloper1x8efhljzvs52u5xa6m7crcwes7v9u0nlwdgw30,6911430874974
cosmosvalcons1dfx3ffavnd8hclegmjgydegzn5dlp86p7wgc75,cosmosvaloper1xwazl8ftks4gn00y5x3c47auquc62ssuqlj02r,228203923548
cosmosvalcons1j4dy0j9vscegyhw5wh5sjy75p2cf60a53qkgch,cosmosvaloper1x065cjlgejk2p2la0029akfvdy52gtq9mm58ta,22165803937
cosmosvalcons1ldkjp8wlaj2f2vlv65mq4rc97rd4s9v7hhyt37,cosmosvaloper1xsgse9yump2j35nfut2tkwh7mdtca5llcgr79d,118422703530
cosmosvalcons1j7uerzja8ved5dqqxgz76ndr5g34ecx2dtfhd6,cosmosvaloper1xsum5hdkcckumzx8ajf3j8upr8w0vs8gcvw0dc,3199700
cosmosvalcons18fntfdwyx2dpf4z3j4w5qwahv0dvmp72x69edj,cosmosvaloper1x3mkgqpshvpq87d33ndsleu7gd7w47dl4ve0yy,141569785254
cosmosvalcons1drmkvw6nrf2m75kquz6v674gcxznhlejtnc9g4,cosmosvaloper1xnrth5rku3z3msm9prxe3l0p2yec3d9mzxz9ka,420299413
cosmosvalcons1wqlhsr893rkkgpheu4lxuyttn03yg0m9gf5xhf,cosmosvaloper1xhhquwctvwm40qn3nmmqq067pc2gw22eqkwgt0,161158023
cosmosvalcons1nnu2u874qluh5p2z2pvzlljjjgkg6dc9mwtxn3,cosmosvaloper18ruzecmqj9pv8ac0gvkgryuc7u004te9rh7w5s,10821662006019
cosmosvalcons1q78p8uewhvqclp077y5sr93un83v5q9jpne2pd,cosmosvaloper188z55862zckmn7kuwg94sl3nw9ta9pqt3xectq,9977226
cosmosvalcons13utglz4zhpwr9r08vtapx3w9s9fmvud8xprdne,cosmosvaloper18sqvyf4ss84qree7gndph5chmm82fglsqfylwn,2000562155416
cosmosvalcons10q3r3twa4vs2n9xl9fn9q6n0m9cxewv0rgtrs6,cosmosvaloper18s3k8dt73e28rraqk70u9xwtv9wlav83n5mqjx,121355384414
cosmosvalcons1qvntfgwexyztmdfdgr768prmas8xgser8g94cd,cosmosvaloper18n80khkgu2z093cqtdatnx3gn0f7fjuvl2s72d,52108328
cosmosvalcons1lh6kn9z5lyazsc2m5anhc4h9vtul7686uzcqxs,cosmosvaloper18kz84x6fv7ep7xvme8x2e4254t404efvhjqst8,82349652
cosmosvalcons19h9jfllccy8hdq4ee679jrltjtkpk7ymh0f7zt,cosmosvaloper18cphtqx7c6kmjuwvtfvge0dtf8nxm8j9x6p4kz,501
cosmosvalcons1ztp25r0xd73ln4ny6q746mmdsgttdk5p8yupga,cosmosvaloper18extdhzzl5c8tr6453e5hzaj3exrdlea90fj3y,310965760437
cosmosvalcons1r557640leqeq7c9wdvxapyw79acnlj2a903456,cosmosvaloper18624s66va2yh3fhf3tamnexdy69m460zzcdchd,141679940
cosmosvalcons1awlfmjr5nvc6x438nd7hmx6my2yqmyxnakf9uy,cosmosvaloper18algml7fg04amyhz0ss5h9m92k5g3ldwvd4fk3,999900
cosmosvalcons13tgt47xw60a4p6q24czs8gnah559wet7gszhsx,cosmosvaloper18al7yt9q5a7n7aqje9dat36efyxssyahmx2gzs,155728674198
cosmosvalcons1kwvu4kaarawlh9t762gdypx9k8pn08jwej804k,cosmosvaloper1gqem6t55xrjc8nqf7y8jyp9xzgnm60zu007nrl,135825139383
cosmosvalcons1m7fg8k39k2tyym5hgwrpf5wx9hqsr8vywuyrtm,cosmosvaloper1gp957czryfgyvxwn3tfnyy2f0t9g2p4pqeemx8,1184699621976
cosmosvalcons1zu87l4kh7jnf4tns5fzptlzw9jfgmch9q25f5v,cosmosvaloper1gpx52r9h3zeul45amvcy2pysgvcwddxrgx6cnv,1648319460979
cosmosvalcons1jhsxp5rhzvrsl6vz9ak9p0tkhn9lnut6ehz9ej,cosmosvaloper1grgelyng2v6v3t8z87wu3sxgt9m5s03xfytvz7,1791087005342
cosmosvalcons1afz4qgt6kas24lskee3vm7qned6re2a62p4pqp,cosmosvaloper1grjl4vfsw4cq9vdvu2r4c8c6lzqnzrcl87hk46,118801271298
cosmosvalcons1hxjcjnwuezfjvd2maswp92zqdjad8adrdwh4s6,cosmosvaloper1gxgyhqagmvyg8sgwgpa79scrwqp4wn4hw4e3cl,437950478
cosmosvalcons19s49axu7lyp3vnazh5l3gpt3mhcz5qxvucqyks,cosmosvaloper1gxju9ky3hwxvqqagrl3dxtl49kjpxq6wlqe6m5,652896012195
cosmosvalcons1vz42ewp04wwepjed7z4qenj925gpakgvap4q2u,cosmosvaloper1gf3dm2mvqhymts6ksrstlyuu2m8pw6dhfp9md2,819961342116
cosmosvalcons16hkujdp3fjymgk2jvg8fexftrhysrpzzzmrweg,cosmosvaloper1gf4wlkutql95j7wwsxz490s6fahlvk2s9xpwax,268751146319
cosmosvalcons104cjmxkrg8y8lmrp25de02e4zf00zle4mzs685,cosmosvaloper1gdqqf8f6wsdvgnevly7q62ez0tmfn0lm9smxws,1999800
cosmosvalcons1aqalcsmd9n5dej0vqkym9edhxh3hlwzujn0tn7,cosmosvaloper1gdg6qqe5a3u483unqlqsnullja23g0xvqkxtk0,302900145
cosmosvalcons1kgmt9g366ut2nkxc26svhfmz7v34zhzl73rgp2,cosmosvaloper1gjtvly9lel6zskvwtvlg5vhwpu9c9waw7sxzwx,386318230136
cosmosvalcons14l38gadp4uq7fvtuwzwulx0ndxe4my5jfzd9ve,cosmosvaloper1gn4ugadhkdwse6ayt7q8ekh0d0p2spw7duwlua,115689923551
cosmosvalcons1kj56rgn5y2u8tdka3e4pa5easrus8mgmy7canj,cosmosvaloper1g48qthza73rv7rl3t823sxp0539k47c7k8fjqp,999903
cosmosvalcons1tfvaep6xl4e8lhw4e06uhwgvdaskenumhk03w6,cosmosvaloper1g48268mu5vfp4wk7dk89r0wdrakm9p5xk0q50k,3337770376738
cosmosvalcons1f9d60e6ecr7aurzl75se2zy6rxshfzmssj8us7,cosmosvaloper1gah0q9gqypnr7ufzg0dcda3k6v8qp4ceddn8fs,676432397330
cosmosvalcons16lmu09y8cy99eudtavwmmq0g6jt403pz97zaxp,cosmosvaloper1fqzqejwkk898fcslw4z4eeqjzesynvrdfr5hte,71979972937
cosmosvalcons1rm28rje5uwp3z9zsnrvqxc2rg4v09uw8trcndm,cosmosvaloper1fypv7c7z3auv7w48qn76538w55jdk66xt5a3lk,7361795
cosmosvalcons1wuryw4luc7pglx9nx5jmgkvakr7s3hphsy9a3j,cosmosvaloper1fghgwhgtxtcshj4a9alp7u2qv6n2wffqhpxcnk,280161932
cosmosvalcons1szxkkp22pdknla04atc2vh8uvnz587pnwa9sj9,cosmosvaloper1ff0dw8kawsnxkrgj7p65kvw7jxxakyf8n583gx,152225910423
cosmosvalcons1zckma638v6hj0cfk8dvr5tuptpm5m7n04w8vl3,cosmosvaloper1fwnw7km7sqwyfdr0lq2n0nzpa3f7zd7p6r44k8,2135306
cosmosvalcons1qmeevnj047ym0kqc2fdsal2680ffhncpp8avs5,cosmosvaloper1fwc57kq4ru4c2fuumpqpljj8aqy24e3fzhlp3n,3282929999
cosmosvalcons1h0j4akdjustw9vmuzwa7a8xku7hrz3ck4nxh09,cosmosvaloper1fsg635n5vgc7jazz9sx5725wnc3xqgr7awxaag,267358217900
cosmosvalcons1cpd299h2lkksgmmjkyzr3mzn75dsm3g2asvfgn,cosmosvaloper1fs0vl7jem78pmhladkludtkun3cgkrwkt8czur,730491183431
cosmosvalcons12tskgcf5gv4lj5etfzqudmfjus9wtgka8znl6y,cosmosvaloper1fhr7e04ct0zslmkzqt9smakg3sxrdve6ulclj2,528054564104
cosmosvalcons1kmzapm47r2akvqu6jzuqsgxpp2wte22uamp7wy,cosmosvaloper1f63lrmnn4upu722kxdhw04taxa6w50lnar88dx,99990004
cosmosvalcons16emwtzn5dqdlfx04tdvg35aajch347yue4e05y,cosmosvaloper1f6ne5ahjrrntmt88eunyatw2jj8w5rn2qmj6p2,22178571
cosmosvalcons15lv7dkuv5hjx5cdvxc346nypshmm7ydyhzamnv,cosmosvaloper1fun809ksxh87nzf88yashp9ynjz6xkscrtvzvw,164531927132
cosmosvalcons1hd9ja0s2ft7cqm5payftnswawh5cmqvncj44fe,cosmosvaloper12r4rsw7s2vnccwealt5zu0kukdxgwamyltmrud,139986000
cosmosvalcons1uh9qzjzflvllwv8z7a795vdyvuvr4eatsmzgg6,cosmosvaloper12xx74t5sx3vgyew7es9h8e9py4ttts6zcg3vxk,2609458724
cosmosvalcons19qj454eqner3yn5p5w808vxwr9ylwjhwjpyq30,cosmosvaloper122j3zmqdl6d2g64qmjuqzj65gfejsvjp07yljn,2964348390
cosmosvalcons1qj6zmfv6gdrajwznv5vwyguzpr92te9nc93dvx,cosmosvaloper12dm2v5yk62k3em0lu7g5ddzrymy832r6vn46j3,302497330
cosmosvalcons1ftmf66j5xmpsudvyc93ggv772hn430x2kj93pq,cosmosvaloper12w6tynmjzq4l8zdla3v4x0jt8lt4rcz5gk7zg2,15630929063
cosmosvalcons1s6gvgluy48l9wkl486f2pjjjeh8qfjfrpwa0df,cosmosvaloper12syxdn3qs7fxua3khvewsvdvrx6xw8cjlsknnm,143543314151
cosmosvalcons192gnt6ypvzhs2ty6hwelvvqa0kv7ywzgvqaj5z,cosmosvaloper125umsz3fws7gepn5ccsh0sv4gre9r6a3tccz4r,25281990452
cosmosvalcons10v7sra65mluywnksudvgzt75xlsf8zwuzsq8r3,cosmosvaloper124maqmcqv8tquy764ktz7cu0gxnzfw54n3vww8,788453423728
cosmosvalcons13tgd82t0fvj24dc7wlfjk3rq4z86hpculkwnt5,cosmosvaloper12knqu4ecmg0982plzs9m9f5jareh0cvegcw3wu,14988
cosmosvalcons14whgq7ke76095z2vzmnm7r9leulx9rttuyurp0,cosmosvaloper12etdez5nurn9avdjrnuezzttck59s0spsx4xea,999900
cosmosvalcons1ee74zlp5nwve3j7wdhasxcvmv4zh7q9rdtr73w,cosmosvaloper12lfqufkk2h3w2ycp50czme6nj3ln5tdv7nj3hx,29906539
cosmosvalcons1276g2lvw5h6yf09vaw2v9jw0zgeqjlc52e2flf,cosmosvaloper1tpxs9gf9gg74mdu7ya4gxhr5560jsxnp4zq979,1183477
cosmosvalcons13drenmupm8zr0hf0d3ys6j29dwjgkr7kxd56y9,cosmosvaloper1tr5var87ga3fyy9d0r76uurpmkfm05rg37xacn,21
cosmosvalcons1rnknqueazcju3x4knpnhvpksudanva4f08558z,cosmosvaloper1tflk30mq5vgqjdly92kkhhq3raev2hnz6eete3,9217613782411
cosmosvalcons1wz8amnsjrndd55p09vp99lh38ld2x8jsmswdm6,cosmosvaloper1ttfytaf43nkytzp8hkfjfgjc693ky4t3y2n2ku,33417408
cosmosvalcons1d3tm8uh4lhqgf7x3dtf70lsp3ggg4pdyerj6yj,cosmosvaloper1t00q7dp0wslx34kee4elz496ts2uqlwphz860l,6196953
cosmosvalcons1lxqz3934hapkqf7m8fdwq6stnemh3qvuljn49z,cosmosvaloper1t3x2vutaan59q0jf55yyc24fmae9gljlalrldg,90681445
cosmosvalcons1ahtwxcvx3dvppzx3q43yr5hegx59fh7htm4r4u,cosmosvaloper1tjwad66qx72xyr3ydcyascrgdyhee58y5x6zdc,1548718
cosmosvalcons1fmtucspcsvljafd28ax5f3vpernuhkrz3d0p9g,cosmosvaloper1tk2xujvwtn0q60u8xelh50u9xzqvrnpk4d00qj,50498929
cosmosvalcons19yr8ml3n22jqfqwm05g7u393pgg0cs5smqryuy,cosmosvaloper1thl5syhmscgnj7whdyrydw3w6vy80044hjpnxh,223736085
cosmosvalcons1whdtx9h5egfk0afj4dc6szml5edtdype42hm00,cosmosvaloper1te8nxpc2myjfrhaty0dnzdhs5ahdh5agzuym9v,1568669307858
cosmosvalcons16de7lp72py6a02smltu8wqej4pd5kqjjfara0l,cosmosvaloper1tmwt5q22qqafyznjhhydn2u6kwpwn2r8unrdyn,117709095906
cosmosvalcons17f5247ynz8rw472hka7a5qemsj2dz78dm4nvyq,cosmosvaloper1vzvx9zq9czxedvtsvwdtxuslsn67q2vmvr9wej,999900
cosmosvalcons1asz9cu9kygt5v6ahavytl605pr8mzhvspndymk,cosmosvaloper1vz0clw0mqw5cjvmk38hg6nakkmvwugxrrhjhkg,3
cosmosvalcons1kmtnvrp878wrdhvmlnerqda73vzy9ysfhmm90x,cosmosvaloper1vrg6ruw00lhszl4sjgwt5ldvl8z0f7pfp5va85,1724712937
cosmosvalcons1d3gvc39578wr927jjuxc4nktyp9vemu9ukxq43,cosmosvaloper1vygmh344ldv9qefss9ek7ggsnxparljlmj56q5,174541931889
cosmosvalcons12ys9vkd8zl0lh9hq2nut6yggwv8p0t4882vg4k,cosmosvaloper1vf44d85es37hwl9f4h9gv0e064m0lla60j9luj,395620049070
cosmosvalcons1pdpwglc4fcjdzqvyhvfwxg684trpc6uqck5sxk,cosmosvaloper1vvwtk805lxehwle9l4yudmq6mn0g32px9xtkhc,2678247484232
cosmosvalcons1tv39l3tynf8lrt0fh5yf9lv3d0lluj8suxs83h,cosmosvaloper1v0g7guekttkdmerz5z8hjj8u8j68c6p00zqgf5,50544211
cosmosvalcons18zawa74y4xv6xg3zv0cstmfl9y38ecur8wztz7,cosmosvaloper1vsc7v43kmz7m8kpcxlwwjysa72k5u5gpknu57h,999900
cosmosvalcons1g0y9af53vvmh65sv3gmplc7322qc49c23hpjph,cosmosvaloper1v34d48p2z8mttnly3n9es2aqsqkem9pr6f0fdy,999900
cosmosvalcons1q23y3jrv0rkk4qjd2y9gk74yc8ffp5kutd0kwy,cosmosvaloper1vjqault583hwktfj63k2hh7r02sj2a66fmvzqz,16
cosmosvalcons18y9ttwxyuvdx9xshnjxj3zkukcudagj974gf2p,cosmosvaloper1vjn3559ncztu87qj8v4ryasgny7vjfx7jhxzu6,53518151
